X,Y,R,G,B
1,1,79,183,255
2,1,79,185,255
3,1,79,187,255
4,1,79,188,255
5,1,79,190,255
6,1,79,191,253
7,1,79,193,248
8,1,79,195,244
9,1,80,198,241
10,1,80,199,237
11,1,80,200,232
12,1,80,203,228
13,1,80,203,225
14,1,80,205,221
15,1,80,207,217
16,1,80,208,213
17,1,80,211,208
18,1,80,212,204
19,1,80,214,200
20,1,80,216,196
21,1,80,217,193
22,1,80,220,188
23,1,80,221,184
24,1,80,222,180
25,1,80,224,176
26,1,81,227,172
27,1,81,229,168
28,1,81,230,164
29,1,81,232,160
30,1,81,233,157
31,1,81,234,153
32,1,81,237,148
33,1,81,239,143
34,1,81,240,140
35,1,81,241,135
36,1,81,243,131
37,1,81,245,127
38,1,81,247,124
39,1,81,248,119
40,1,81,250,115
41,1,81,251,111
42,1,81,253,107
43,1,81,255,103
44,1,82,255,100
45,1,82,255,95
46,1,82,255,92
47,1,82,255,87
48,1,82,255,84
49,1,82,255,82
50,1,82,255,82
51,1,82,255,82
52,1,85,255,82
53,1,88,255,82
54,1,91,254,81
55,1,95,251,81
56,1,99,246,81
57,1,103,242,81
58,1,107,239,81
59,1,111,236,81
60,1,116,231,81
61,1,119,227,81
62,1,123,224,81
63,1,126,219,80
64,1,131,215,80
65,1,135,211,80
66,1,138,208,80
67,1,142,204,80
68,1,146,200,80
69,1,150,196,80
70,1,153,193,80
71,1,158,189,80
72,1,161,184,79
73,1,166,180,79
74,1,169,177,79
75,1,173,172,79
76,1,177,169,79
77,1,181,165,79
78,1,185,161,79
79,1,189,158,79
80,1,192,152,78
81,1,197,149,78
82,1,200,145,78
83,1,204,141,78
84,1,209,137,78
85,1,212,133,78
86,1,216,130,78
87,1,221,126,78
88,1,225,122,78
89,1,227,118,77
90,1,232,113,77
91,1,235,110,77
92,1,239,106,77
93,1,244,102,77
94,1,247,99,77
95,1,252,95,77
96,1,255,91,77
97,1,255,87,77
98,1,255,82,76
99,1,255,78,76
100,1,255,76,76
